state	year	spircons	unrate	perinc	emppop	beertax	sobapt	mormon	mlda	dry	yngdrv	vmiles	breath	jaild	comserd	allmort	mrall	allnite	mralln	allsvn	a1517	mra1517	a1517n	mra1517n	a1820	a1820n	mra1820	mra1820n	a2124	mra2124	a2124n	mra2124n	aidall	mraidall	pop	pop1517	pop1820	pop2124	miles	unus	epopus	gspch
1	1982	1.370000005	14.39999962	10544.15234	50.69203949	1.539379478	30.35569954	0.3282899857	19	25.00629997	0.2115720063	7233.887207	0	0	0	839	0.000212836	146	3.7037e-005	99	53	0.000253589	9	4.306199844e-005	99	34	0.0004468448	0.0001534618495	120	0.000413793	32	0.000110345	309.4379883	7.8498e-005	3942002.25	208999.5938	221553.4375	290000.0625	28516	9.699999809	57.79999924	-0.02212475985
1	1983	1.360000014	13.69999981	10732.79785	52.14702988	1.788990736	30.33359909	0.3434099853	19	22.99419975	0.2107679993	7836.347656	0	0	0	930	0.000234848	154	3.88889e-005	98	71	0.000351485	8	3.960400136e-005	108	26	0.0004928683	0.0001186534864	124	0.000427586	35	0.00012069	341.8340149	8.6322e-005	3960008	202000.0781	219125.4688	290000.1562	31032	9.600000381	57.90000153	0.04655825347
1	1984	1.320000052	11.10000038	11108.79102	54.16808701	1.714285612	30.31150055	0.3592399955	19	24.04260063	0.2114840001	8262.990234	0	0	0	932	0.000233643	165	4.13638e-005	94	49	0.000248731	7	3.553300121e-005	103	25	0.0004752587	0.0001153540434	118	0.000409722	34	0.000118056	304.8720093	7.6428e-005	3988991.75	196999.9688	216724.0938	288000.1562	32961	7.5	59.50000381	0.06279783696
1	1985	1.279999971	8.899999619	11332.62695	55.27113724	1.652542353	30.28949928	0.37579	19.67000008	23.63389969	0.2111400068	8726.916992	0	0	0	882	0.000219348	146	3.63094e-005	98	66	0.000338462	9	4.61540003e-005	100	23	0.0004665288	0.0001073016319	114	0.000401408	45	0.000158451	276.7420044	6.8824e-005	4021007.75	194999.7344	214349.0312	284000.3125	35091	7.199999809	60.10000229	0.02748997323
1	1986	1.230000019	9.800000191	11661.50684	56.51449585	1.609907031	30.26740074	0.393110007	21	23.4647007	0.2134000063	8952.853516	0	0	0	1081	0.000266914	172	4.24691e-005	119	82	0.000401961	10	4.902000001e-005	120	23	0.0005660377	0.0001084905671	119	0.000452471	29	0.000110266	360.7160034	8.9066e-005	4049993.75	203999.8906	212000	263000.2812	36259	7	60.70000076	0.03214294836
1	1987	1.179999948	7.800000191	11944	57.50988007	1.559999943	30.24530029	0.4112299979	21	23.79240036	0.215526998	9166.301758	0	0	0	1110	0.000271859	181	4.43301e-005	114	94	0.000458537	11	5.365900142e-005	127	31	0.00060766	0.0001483249944	138	0.000532819	30	0.00011583	368.42099	9.0233e-005	4082999	204999.8125	208998.4531	258999.7656	37426	6.199999809	61.5	0.04897637293
1	1988	1.169999957	7.199999809	12368.62402	56.83452988	1.501443624	30.22330093	0.4301800132	21	23.79240036	0.2183279991	9674.323242	0	0	0	1023	0.000249391	139	3.38859e-005	89	66	0.000328358	8	3.980100155e-005	105	24	0.00054404	0.0001243519946	123	0.000467681	25	9.5057e-005	298.321991	7.2726e-005	4101992.25	201000.125	193000.5156	262999.7812	39684	5.5	62.30000305	0.03539181873
4	1982	1.970000029	9.899999619	12309.06934	56.89329529	0.2147971392	3.958899975	4.919099808	19	0	0.2090120018	6810.156738	0	1	1	724	0.000249914	131	4.52192e-005	76	40	0.000283688	7	4.964500113e-005	81	16	0.0005179733	0.0001023157165	96	0.000440367	36	0.000165138	173.6679993	5.9948e-005	2896996.5	140999.9844	156378.7031	217999.9844	19729	9.699999809	57.79999924	-0.04318189994
4	1983	1.899999976	9.100000381	12693.80762	57.55363083	0.2064220309	3.890100002	4.831069946	19	0	0.203854993	6587.494629	0	1	1	675	0.000226738	112	3.76218e-005	60	40	0.00028777	7	5.035999857e-005	83	19	0.0005269124	0.000120618497	80	0.000365297	17	7.7626e-005	196.8899994	6.6137e-005	2977004.25	138999.8906	157521.4375	218999.8906	19611	9.600000381	57.90000153	0.07620553672
4	1984	2.140000105	5	13265.93359	60.37902069	0.2967033088	3.822599888	4.744609833	19	0	0.209126994	6709.970215	0	1	1	869	0.000282878	149	4.85026e-005	81	51	0.000369565	8	5.797099948e-005	118	34	0.00074367	0.0002142777957	123	0.000559091	33	0.00015	212.3609924	6.9128e-005	3071995.75	138000.0781	158672.5312	219999.9688	20613	7.5	59.50000381	0.106213972
4	1985	1.860000014	6.5	13726.69531	58.64853287	0.3813559413	3.756200075	4.65970993	21	0	0.1884279996	6771.262695	0	1	1	893	0.000280201	150	4.70662e-005	75	48	0.000342857	11	7.85709999e-005	100	26	0.0006256568	0.0001626707817	121	0.00055	30	0.000136364	225.8240051	7.0858e-005	3186998	140000.0625	159832.0312	220000	21580	7.199999809	60.10000229	0.0781956017
4	1986	1.779999971	6.900000095	14107.32715	60.28018188	0.3715170324	3.690999985	4.576320171	21	0	0.1715389937	8129.007812	0	1	1	1007	0.000307106	173	5.276e-005	85	72	0.000486486	19	0.0001283780002	104	30	0.0006459627	0.0001863353973	130	0.000616114	25	0.000118483	242.8269958	7.4055e-005	3278998	148000.1406	161000	210999.9062	26655	7	60.70000076	0.06771251559
